G_part,fully_correct,response,n
G2a,FALSE,1,12
G2a,FALSE,u_n-1,12
G2a,FALSE,n-1,9
G2a,FALSE,-u_n,3
G2a,FALSE,u-1,3
G2a,FALSE,u_(n-1)-1,3
G2a,FALSE,-1,1
G2a,FALSE,-1*a_n,1
G2a,FALSE,(1/2)*u_n-1,1
G2a,FALSE,(u_(n-1)) - 1,1
G2a,FALSE,0,1
G2a,FALSE,1-u_n,1
G2a,FALSE,1/2*n,1
G2a,FALSE,1/u_n,1
G2a,FALSE,2*n,1
G2a,FALSE,2*n+1,1
G2a,FALSE,3,1
G2a,FALSE,4,1
G2a,FALSE,5,1
G2a,FALSE,6,1
G2a,FALSE,a_n-1,1
G2a,FALSE,n-2,1
G2a,FALSE,n^2+1,1
G2a,FALSE,u*n-2,1
G2a,FALSE,u_(n-1) - 1,1
G2a,FALSE,u_(n+1),1
G2a,FALSE,u_(n+1)-2,1
G2a,FALSE,u_n-1 -c,1
G2a,FALSE,u_n-5,1
G2a,FALSE,u2,1
G2a,TRUE,-n,14
G2a,TRUE,1-n,3
G2a,TRUE,1/n,2
G2a,TRUE,-2*n,1
G2a,TRUE,-4*n,1
G2a,TRUE,-5*n,1
G2a,TRUE,-n-1,1
G2a,TRUE,-n*3,1
G2a,TRUE,-n+1,1
G2a,TRUE,(-n-1),1
G2a,TRUE,2*n^-1,1
G2a,TRUE,3/n,1
G2a,TRUE,4-4*(n-1),1
G2a,TRUE,n-2*n,1
G2a,TRUE,n^-1,1
G2b,FALSE,1,13
G2b,FALSE,2,6
G2b,FALSE,0,4
G2b,FALSE,3,3
G2b,FALSE,n-1,2
G2b,FALSE,u_n-1,2
G2b,FALSE,u_n+1,2
G2b,FALSE,-((u_n)^2),1
G2b,FALSE,-(n^2),1
G2b,FALSE,-1,1
G2b,FALSE,-1*a_n,1
G2b,FALSE,-2^n,1
G2b,FALSE,-5*n+2,1
G2b,FALSE,-6*n^2,1
G2b,FALSE,-e^n,1
G2b,FALSE,-ln(n),1
G2b,FALSE,-m,1
G2b,FALSE,-n,1
G2b,FALSE,(-1)^(-n),1
G2b,FALSE,(-1)^2-10,1
G2b,FALSE,(-1/2)^n,1
G2b,FALSE,(-1/n),1
G2b,FALSE,(-n)^n,1
G2b,FALSE,(1)^n,1
G2b,FALSE,(u(n+1))/2,1
G2b,FALSE,(u_(n+1)) + 1,1
G2b,FALSE,1-n,1
G2b,FALSE,1-n^2,1
G2b,FALSE,100-n^2,1
G2b,FALSE,2*n-1/5*n,1
G2b,FALSE,2*u_n,1
G2b,FALSE,2^n,1
G2b,FALSE,4,1
G2b,FALSE,5,1
G2b,FALSE,6,1
G2b,FALSE,7,1
G2b,FALSE,8,1
G2b,FALSE,a_n-2,1
G2b,FALSE,M+u_n-1,1
G2b,FALSE,n-2*n,1
G2b,FALSE,n/2,1
G2b,FALSE,n^(1/n),1
G2b,FALSE,n+1,1
G2b,FALSE,n+2,1
G2b,FALSE,sqrt(u_(n-1)-1),1
G2b,FALSE,sqrt(u_n),1
G2b,FALSE,u,1
G2b,FALSE,u-1,1
G2b,FALSE,u_(n-1)/10,1
G2b,FALSE,u_(n+1),1
G2b,FALSE,u_m-1,1
G2b,FALSE,u_n,1
G2b,TRUE,1/n,14
G2b,TRUE,1/5^n,1
G2b,TRUE,1/n^2,1
G2b,TRUE,2/n,1
G2b,TRUE,24*(1/n),1
G2b,TRUE,5/n,1
G2b,TRUE,n^-1,1
G2c,FALSE,1,21
G2c,FALSE,0,8
G2c,FALSE,3,6
G2c,FALSE,4,3
G2c,FALSE,5,3
G2c,FALSE,(-1)^n,2
G2c,FALSE,1/(n-3),2
G2c,FALSE,6,2
G2c,FALSE,8,2
G2c,FALSE,n,2
G2c,FALSE,u_n,2
G2c,FALSE,u_n-1,2
G2c,FALSE,-1/n+5/4,1
G2c,FALSE,-1^n,1
G2c,FALSE,-2^n+7,1
G2c,FALSE,-3,1
G2c,FALSE,-n^2+1,1
G2c,FALSE,(-1/2)^n+1/16,1
G2c,FALSE,(-n/4)^n,1
G2c,FALSE,(u_n-3)^2,1
G2c,FALSE,1-sqrt(n),1
G2c,FALSE,1/n,1
G2c,FALSE,1^(-n),1
G2c,FALSE,16*(1/4),1
G2c,FALSE,2,1
G2c,FALSE,22222,1
G2c,FALSE,3*n,1
G2c,FALSE,4*n-1,1
G2c,FALSE,5-n,1
G2c,FALSE,e^(1/4*x),1
G2c,FALSE,i,1
G2c,FALSE,M+u_n-1,1
G2c,FALSE,n-1/n,1
G2c,FALSE,n-3,1
G2c,FALSE,n/4,1
G2c,FALSE,u-3,1
G2c,FALSE,u_(n+1),1
G2c,FALSE,wh_at,1
G2c,TRUE,4/n,14
G2c,TRUE,1/n+3/4,1
G2c,TRUE,16/n^2,1
